緯度,経度,施設名,住所,利用可能日,利用可能時間,電話番号　,授乳,おむつ替え
34.6938,135.5020028,大阪市役所 １階　市民情報プラザ内,大阪市北区中之島１－３－２０,毎週月曜日から金曜日,9:00～17：30,06-6208-8450,1,1
34.705511,135.51002,大阪市北区役所,大阪市北区扇町2-1-27,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6313-9986,1,1
34.701153,135.52794,大阪市都島区役所,大阪市都島区中野町２－１６－２０,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6882-9625,1,1
34.7080781,135.5221832,大阪市都島区保健福祉センター分館,大阪市都島区中野町５－１５－２１,毎週月曜日から金曜日,9:00～17：30,06-6882-9882,1,1
34.692318,135.472087,大阪市福島区役所,大阪市福島区大開1-8-1,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6464-9625,1,1
34.682964,135.452227,大阪市此花区役所／保健福祉センター,大阪市此花区春日出北1-8-4,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6466-9625,1,1
34.681123,135.510093,大阪市中央区役所／保健福祉センター,大阪市中央区久太郎町1丁目2番２７号,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6267-9986,1,1
34.676127,135.485897,大阪市西区役所,大阪市西区新町4-5-14,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6532-9625,1,1
34.66378,135.460674,大阪市港区役所,大阪市港区市岡1-15-25,毎週月曜日から金曜日,9:00～17：30,06-6576-9986,1,1
34.650233,135.472743,大阪市大正区役所,大阪市大正区千島2-7-95,毎週月曜日から金曜日,9:00～17：30,06-4394-9625,1,1
34.657783,135.519369,大阪市天王寺区役所,大阪市天王寺区新法院町20-33,毎週月曜日から金曜日,9:00～17：30,06-6774-9625,1,1
34.65925,135.499716,大阪市浪速区役所,大阪市浪速区敷津東1-4-20,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6647-9986,1,1
34.711249,135.455985,大阪市西淀川区役所,大阪市西淀川区御幣島１－２－１０,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6478-9625,1,1
34.721109,135.486638,大阪市淀川区役所,大阪市淀川区十三東2-3-3,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6308-9625,1,1
34.741306,135.52951,大阪市東淀川区役所,大阪市東淀川区豊新２丁目１番４号,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-4809-9986,1,1
34.7381189,135.5166666,大阪市東淀川区役所出張所,大阪市東淀川区東淡路４－１５－１,毎週月曜日から金曜日,9:00～17：30,06-6322-0731,1,1
34.669927,135.541144,大阪市東成区役所,大阪市東成区大今里2-8-4,毎週月曜日から金曜日,9:00～17：30,06-6977-9986,1,1
34.6716689,135.5409495,大阪市東成区保健福祉センター分館,大阪市東成区大今里西1-19-29,毎週月曜日から金曜日,9:00～17：30,なし,1,1
34.653502,135.534458,大阪市生野区役所,大阪市生野区勝山南3-1-19,毎週月曜日から金曜日,9:00～17：00,06-6715-9857,1,1
34.721174,135.544299,大阪市旭区役所,大阪市旭区大宮1-1-17,毎週月曜日から金曜日,9:00～17：30（金は～19：00）,06-6957-9625,1,1
34.703274,135.544599,城東区複合施設,大阪市城東区中央3-5-45,毎日,8：30～21：30,06-6930-9986,1,1
34.70454,135.574131,大阪市鶴見区役所,大阪市鶴見区横堤5-4-19,毎週月曜日から金曜日,9:00～17：30,06-6915-9986,1,1
34.638853,135.51858,大阪市阿倍野区役所,大阪市阿倍野区文の里1-1-40,毎週月曜日から金曜日,9:00～17：30,06-6622-9882,1,1
34.609649,135.482646,大阪市住之江区役所,大阪市住之江区御崎３－１－１７,毎週月曜日から金曜日,9:00～17：30,06-6682-9626,1,1
34.608464,135.4856923,大阪市住之江区保健福祉センター分館,大阪市住之江区浜口東３－５－１６,毎週月曜日から金曜日,9:00～17：30,06-4301-7240,0,1
34.603633,135.500315,大阪市住吉区役所,大阪市住吉区南住吉3-15-55,毎週月曜日から金曜日,9:00～17：30,06-6694-9625,1,1
34.622062,135.526512,大阪市東住吉区役所,大阪市東住吉区東田辺1-3-4,毎週月曜日から金曜日,9:00～17：30,06-4399-9986,1,1
34.621245,135.546016,大阪市平野区役所,大阪市平野区背戸口3-8-19,毎週月曜日から金曜日,9:00～17：30,06-4302-9625,1,1
34.63497,135.494251,大阪市西成区役所,大阪市西成区岸里1-5-20,毎週月曜日から金曜日,9:00～17：30,06-6659-9986,1,1
34.704406,135.5731561,大阪市鶴見区民センター,大阪市鶴見区横堤５－３－１５,毎日,9:30～21:30,06-6912-3971,1,1
34.634661,135.4949137,大阪市西成区民センター,大阪市西成区岸里１－１－５０,毎日,9:30～21:30,06-6651-1131,0,1
34.710477,135.494929,大阪市立愛光会館,大阪市北区中津１－４－１０,毎週月曜日から土曜日,9:00～20:00,06-6371-7146,1,1
34.6988002,135.4979192,大阪市立総合生涯学習センター,大阪市北区梅田１－２－２－５００,毎日,9:30～21:30（日は～17:30),06-6345-5020,0,1
34.6431029,135.5114499,大阪市立阿倍野市民学習センター,大阪市阿倍野区阿倍野筋３－１０－１－３００ あべのベルタ３階,毎日,9:30～21:30（日は～17:00),06-6634-7951,0,1
34.6660779,135.4950249,大阪市立難波市民学習センター,大阪市浪速区湊町１－４－１ ＯＣＡＴビル４階,毎日,9:30～21:30（日は～17:00),06-6643-7010,0,1
34.710307,135.511583,大阪市立男女共同参画センター子育て活動支援館（クレオ大阪子育て館）,大阪市北区天神橋６－４－２０（７階）,年末年始を除く毎日,10:00～21:00(土・日は10:00～17:00）,06-6354-0106,1,1
34.6818031,135.4632609,大阪市立男女共同参画センター西部館 大阪市立こども文化センター（クレオ大阪西・こども文化センター）,大阪市此花区西九条６－１－２０,毎週火曜日から日曜日,9:30～21:30,06-6460-7800,0,1
34.6598329,135.515553,大阪市立男女共同参画センター中央館（クレオ大阪中央）,大阪市天王寺区上汐５－６－２５,毎週火曜日から日曜日,9:30～21:30,06-6770-7200,1,1
34.6106558,135.5484219,大阪市立男女共同参画センター南部館（クレオ大阪南）,大阪市平野区喜連西６－２－２３,毎週火曜日から日曜日,9:30～21:30,06-6705-1100,0,1
34.6916008,135.5366874,大阪市立男女共同参画センター東部館（クレオ大阪東）,大阪市城東区鴫野西２－１－２１,毎週火曜日から日曜日,9:30～21:30,06-6965-1200,0,1
34.6499281,135.4906826,大阪市社会福祉研修／情報センター,大阪市西成区出城２－５－２０,毎日,9:00～21:00（土日は～17:00),06-4392-8200,0,1
34.673961,135.4859692,大阪市立中央図書館,大阪市西区北堀江４－３－２,毎日,9:15～20:30（土日祝は～17:00),06-6539-3326,1,1
34.6681847,135.5412311,大阪市立東成図書館,大阪市東成区大今里西３－２－１７,毎週火曜日から日曜日,10:00～19:00（土日は～17:00）,06-6972-0727,1,1
34.6244109,135.5593,大阪市立平野図書館,大阪市平野区平野東１－８－２,毎週火曜日から日曜日,10:00～19:00（土日は～17:00）,06-6793-0881,1,1
34.7071109,135.5325383,大阪市水道局　東部水道センター,大阪市都島区都島本通４－１２－４,毎週月曜日から金曜日,9:00～17：30,06-6927-8771,1,1
34.7029921,135.482172,大阪市立大淀保育所,大阪市北区大淀中4-9-11,毎週月曜日から金曜日,10：00～16：00,06-6458-6200,1,0
34.7221142,135.527722,大阪市立毛馬保育所,大阪市都島区毛馬町2-5-13,毎週月曜日から金曜日,10：00～16：00,06-6924-1565,1,0
34.6980561,135.4712501,福島子育て支援センター,大阪市福島区海老江6-1-9,毎週月曜日から金曜日,10：00～16：00,06-6451-5734,1,1
34.6911029,135.4578501,つどいの広場高見町,大阪市此花区高見3-1-4,毎週月曜日から金曜日,10：00～16：00,06-6461-5610,1,1
34.6829611,135.4435467,大阪市立酉島保育所,大阪市此花区酉島1-18-19-101,毎週月曜日から金曜日,10：00～16：00,06-6468-8105,1,0
34.6806031,135.5162968,中央子育て支援センター,大阪市中央区農人橋1-1-2,毎週月曜日から金曜日,10：00～16：00,06-6942-0590,1,1
34.6786558,135.481633,大阪市立梅本保育所,大阪市西区本田1-4-50,毎週月曜日から金曜日,10：00～16：00,06-6581-2009,1,0
34.6540641,135.4448308,港子育て支援センター,大阪市港区八幡屋3-11-6,毎週月曜日から金曜日,10：00～16：00,06-6571-0204,1,1
34.6647831,135.4605222,大阪市立磯路保育所,大阪市港区磯路2-11-8,毎週月曜日から金曜日,10：00～16：00,06-6572-6495,1,0
34.6624061,135.4801333,大阪市立大浪保育所,大阪市大正区三軒家東2-5-4-101,毎週月曜日から金曜日,10：00～16：00,06-6554-5374,1,0
34.642192,135.4733029,つどいの広場大正,大阪市大正区平尾2-23-5-101,毎週月曜日から金曜日,10：00～16：00,06-6552-0300,1,1
34.6677251,135.5278143,大阪市立味原保育所,大阪市天王寺区味原町9-6,毎週月曜日から金曜日,10：00～16：00,06-6762-0150,1,0
34.6543109,135.4912917,浪速子育て支援センター,大阪市浪速区浪速東3-2-53,毎週月曜日から金曜日,10：00～16：00,06-6568-1901,1,1
34.657989,135.4844937,大阪市立浪速第５保育所,大阪市浪速区木津川2-3-46,毎週月曜日から金曜日,10：00～16：00,06-6568-1905,1,0
34.6597672,135.4927032,つどいの広場小田町,大阪市浪速区塩草2-1-12,毎週月曜日から金曜日,10：00～16：00,06-6562-0008,1,1
34.7129471,135.464981,つどいの広場柏里,大阪市西淀川区柏里3-17-1-101,毎週月曜日から金曜日,10：00～16：00,06-6471-0440,1,1
34.7120971,135.4471027,西淀川子育て支援センター,大阪市西淀川区佃4-9-9,毎週月曜日から金曜日,10：00～16：00,06-6473-9507,1,1
34.7257752,135.4588607,つどいの広場かしま,大阪市淀川区加島1-32-17,毎週月曜日から金曜日,10：00～16：00,06-6309-3090,1,1
