緯度,経度,施設名,住所,利用可能日,利用可能時間,電話番号　,授乳,おむつ替え
34.678813,135.498738,パパママカレッジ＆マタニティサロンHugMe（助産院はぐみ）,大阪市中央区博労町4-5-6 野上ビル２階,毎週月曜日から日曜日（土日不定休）,9:00～16:00（土日10:00～16:00）,06-4708-5766,1,1
34.672403,135.498808,心斎橋BIGSTEP,大阪市中央区心斎橋1-6-14,毎週月曜日から日曜日,11:00～20:00,06-6258-5002,1,1
34.619976,135.520388,デイサービス　シンシア,大阪市東住吉区山坂4-14-22,毎週月曜日から土曜日,9:30～17:00,06-6608-1872,1,1
34.700229,135.497209,ディアモール大阪（ディーズ赤ちゃんルーム）,大阪市北区梅田1-9大阪駅前ダイヤモンド地下街１号,休館日を除く毎日,10:00～19:00,06-6348-8931,1,1
34.711855,135.582385,医療法人　いちば歯科医院,大阪市鶴見区浜２－５－５,毎週月曜日から土曜日,月～水9:30～19:00、木・土9:30～12:30、金9:00～18:00,06-6913-3715,1,1
34.704139,135.504951,大阪市北区社会福祉協議会,大阪市北区神山町15－11,毎週月曜日から土曜日,9:00～17:00,06-6313-5566,1,1
34.626528,135.515611,トヨタカローラ南海(株)　阿倍野店,大阪市阿倍野区阪南町４－１－２,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6622-5353,1,1
34.609042,135.503616,トヨタカローラ南海(株)　住吉店,大阪市住吉区南住吉２－１８－４,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6693-5500,0,1
34.609112,135.503315,ネッツトヨタ南海(株)　住吉店,大阪市住吉区南住吉２－１８－２６,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6693-4861,0,1
34.621311,135.541516,トヨタカローラ南海(株)　平野店,大阪市平野区背戸口１－２１－２４,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6704-0117,0,1
34.60961,135.54263,トヨタカローラ南海(株)　新喜連店,大阪市平野区喜連西４－６－７５,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6703-3115,0,1
34.621001,135.574174,トヨタカローラ南海(株)　加美店,大阪市平野区加美南４－５－１１,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6796-1081,0,1
34.634239,135.496966,トヨタカローラ南海(株)　岸ノ里店,大阪市西成区天下茶屋３－２７－１１,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6551-8135,1,1
34.605373,135.48365,トヨタカローラ南海(株)　住之江店,大阪市住之江区浜口西３－１２－８,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6678-6701,0,1
34.62238,135.482876,トヨタカローラ南海(株)　南港店,大阪市西成区南津守７－１４－１８,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6658-8866,0,1
34.621129,135.475274,ネッツトヨタ南海(株)　南港店,大阪市住之江区北加賀屋５－６－１,毎週火曜日から日曜日（月曜日が祝日の場合は火曜日休業）,10:00～18:15,06-6682-6006,0,1
34.7352999,135.4859438,大阪市淀川区社会福祉協議会,大阪市淀川区三国本町2-14-3,毎週月曜日から土曜日,9:00～17:30,06-6394-2900,1,0
34.5924361,135.5110113,大阪市住吉区社会福祉協議会,大阪市住吉区浅香1-8-47,毎週月曜日から土曜日,月～金9:00～18:30(土は～17:00),06-6607-8181,0,1
34.6234251,135.5564858,平野区在宅サービスセンター,大阪市平野区平野東2-1-30,毎週月曜日から土曜日,月～金9:00～18:00(土は～17:30),06-6795-2525,0,1
34.6247941,135.527406,東住吉区在宅サービスセンター（さわやかセンター）,大阪市東住吉区田辺2-10-18,毎週月曜日から土曜日,月～金9:30～18:30(土は～17:30),06-6622-6611,0,1
34.748519,135.496841,御堂筋線　江坂駅,吹田市豊津町9番地,毎日,5:00～24:00,-,0,1
34.741419,135.498465,御堂筋線　東三国駅,大阪市淀川区東三国1丁目33番6号,毎日,5:00～24:00,-,0,1
34.7322939,135.4985593,御堂筋線　新大阪駅,大阪市淀川区西中島5丁目15番5号,毎日,5:00～24:00,-,1,1
34.727293,135.498587,御堂筋線　西中島南方駅,大阪市淀川区西中島1丁目12番10号,毎日,5:00～24:00,-,1,1
34.711125,135.4969908,御堂筋線　中津駅,大阪市北区中津1丁目13番19号,毎日,5:00～24:00,-,0,1
34.7026745,135.497895,御堂筋線　梅田駅,大阪市北区角田町8番6号,毎日,5:00～24:00,-,0,1
34.6913264,135.5009504,御堂筋線　淀屋橋駅,大阪市中央区北浜3丁目6番14号,毎日,5:00～24:00,-,1,1
34.6841153,135.5006708,御堂筋線　本町駅,大阪市中央区本町4丁目1番15号,毎日,5:00～24:00,-,0,1
34.6745103,135.5003649,御堂筋線　心斎橋駅,大阪市中央区心斎橋筋1丁目8番16号,毎日,5:00～24:00,-,1,1
34.666768,135.5003521,御堂筋線　なんば駅,大阪市中央区難波1丁目9番7号,毎日,5:00～24:00,-,1,1
34.6561221,135.49786,御堂筋線　大国町駅,大阪市浪速区敷津東3丁目11番10号,毎日,5:00～24:00,-,0,1
34.6488698,135.5041446,御堂筋線　動物園前駅,大阪市西成区太子1丁目6番12号,毎日,5:00～24:00,-,0,1
34.6462973,135.5146555,御堂筋線　天王寺駅,大阪市阿倍野区阿倍野筋１丁目1番48号,毎日,5:00～24:00,-,1,1
34.6334255,135.516887,御堂筋線　昭和町駅,大阪市阿倍野区昭和町1丁目9番26号,毎日,5:00～24:00,-,0,1
34.6220642,135.5151959,御堂筋線　西田辺駅,大阪市阿倍野区西田辺町1丁目1番25号,毎日,5:00～24:00,-,0,1
34.6104,135.5137709,御堂筋線　長居駅,大阪市住吉区長居東4丁目6番5号,毎日,5:00～24:00,-,1,1
34.5990418,135.5128297,御堂筋線　あびこ駅,大阪市住吉区苅田7丁目12番21号,毎日,5:00～24:00,-,0,1
34.582115,135.51643,御堂筋線　北花田駅,堺市北区北花田2丁14番地の3,毎日,5:00～24:00,-,0,1
34.567646,135.514886,御堂筋線　新金岡駅,堺市北区新金岡1丁7番地の2,毎日,5:00～24:00,-,0,1
34.556697,135.506537,御堂筋線　なかもず駅,堺市北区中百舌鳥町2丁240番地の1,毎日,5:00～24:00,-,0,1
34.749573,135.578266,谷町線　大日駅,守口市大日町2丁目1番B1,毎日,5:00～24:00,-,0,1
34.73833,135.564115,谷町線　守口駅,守口市京阪本通2丁目2番B1,毎日,5:00～24:00,-,0,1
34.73102,135.5544404,谷町線　太子橋今市駅,大阪市旭区太子橋1丁目4番地先,毎日,5:00～24:00,-,0,1
34.7238555,135.5491482,谷町線　千林大宮駅,大阪市旭区森小路2丁目6番地先,毎日,5:00～24:00,-,0,1
34.7152185,135.5458293,谷町線　関目高殿駅,大阪市旭区高殿4丁目22番地先,毎日,5:00～24:00,-,0,1
34.7097422,135.5389714,谷町線　野江内代駅,大阪市都島区内代町1丁目8番地先,毎日,5:00～24:00,-,0,1
34.7089495,135.5261104,谷町線　都島駅,大阪市都島区都島本通3丁目3番地先,毎日,5:00～24:00,-,1,1
34.7105634,135.5120657,谷町線　天神橋筋六丁目駅,大阪市北区浪花町14番28号,毎日,5:00～24:00,-,0,1
34.7067415,135.5050346,谷町線　中崎町駅,大阪市北区中崎1丁目6番16号,毎日,5:00～24:00,-,0,1
34.7009117,135.4995659,谷町線　東梅田駅,大阪市北区曽根崎2丁目11番11号,毎日,5:00～24:00,-,0,1
34.6893749,135.5173741,谷町線　天満橋駅,大阪市中央区谷町1丁目2番5号,毎日,5:00～24:00,-,0,1
34.6814667,135.5172622,谷町線　谷町四丁目駅,大阪市中央区谷町4丁目4番21号,毎日,5:00～24:00,-,0,1
34.6750533,135.5169921,谷町線　谷町六丁目駅,大阪市中央区谷町6丁目9番1号,毎日,5:00～24:00,-,0,1
34.667662,135.5159269,谷町線　谷町九丁目駅,大阪市天王寺区生玉前町1番24号,毎日,5:00～24:00,-,0,1
34.6582062,135.5141341,谷町線　四天王寺前夕陽ケ丘駅,大阪市天王寺区夕陽丘町3番2号,毎日,5:00～24:00,-,0,1
34.6489086,135.5133727,谷町線　天王寺駅,大阪市天王寺区茶臼山5番52号,毎日,5:00～24:00,-,0,1
34.6424479,135.5120203,谷町線　阿倍野駅,大阪市阿倍野区阿倍野筋2丁目4番地先,毎日,5:00～24:00,-,0,1
34.636002,135.518063,谷町線　文の里駅,大阪市阿倍野区昭和町1丁目1番地先,毎日,5:00～24:00,-,0,1
34.6283371,135.5253525,谷町線　田辺駅,大阪市東住吉区田辺1丁目4番4号,毎日,5:00～24:00,-,0,1
34.6215589,135.5328882,谷町線　駒川中野駅,大阪市東住吉区針中野1丁目1番1号,毎日,5:00～24:00,-,0,1
34.6212074,135.5487405,谷町線　平野駅,大阪市平野区平野西5丁目2番地先,毎日,5:00～24:00,-,0,1
34.6092751,135.5507752,谷町線　喜連瓜破駅,大阪市平野区喜連2丁目5番地先,毎日,5:00～24:00,-,0,1
